hhid,eligible_members,formal_savers,informal_savers,savings_responses,savings_answered,savings_target,bank_access_count,mobile_money_access_count,assisted_banking_count,any_bank_access,any_mobile_money_access,any_assisted_banking,household_size,members_with_age,head_indiv,head_sex_code,head_age,state_code,lga_code,zone_code,urban_rural_code,state_name,working_age_members,members_any_work,members_income_activity,members_helped_income_activity,reported_main_job_earnings,total_reported_main_job_earnings,employment_rate,digital_age10_members,mobile_access_count,internet_access_count,any_mobile_access,any_internet_access,asset_items_listed,asset_types_owned,total_units_owned,total_current_asset_value,income_source_types_listed,income_source_types_received,total_reported_income_sources
59160,9,1,4,9,9,1,1,1,7,1,1,1,20.0,20.0,1.0,1.0,55.0,5.0,517.0,2.0,2.0,Bauchi,19,6,2,0,4,254400.0,0.3157894736842105,15,15,9,1,1,42,9,31.0,516100.0,7,0,0.0
59161,10,2,7,10,10,1,5,4,2,1,1,1,14.0,14.0,1.0,1.0,34.0,5.0,517.0,2.0,2.0,Bauchi,13,9,0,0,9,17900.0,0.6923076923076923,10,9,3,1,1,42,9,39.0,228500.0,7,0,0.0
59162,4,0,0,4,4,0,0,2,2,0,1,1,6.0,6.0,1.0,1.0,67.0,5.0,517.0,2.0,2.0,Bauchi,6,4,0,0,4,11500.0,0.6666666666666666,5,5,0,1,0,42,5,15.0,51200.0,7,0,0.0
59163,7,1,4,7,7,1,1,0,0,1,0,0,16.0,16.0,1.0,1.0,56.0,5.0,517.0,2.0,2.0,Bauchi,14,11,0,0,8,1556000.0,0.7857142857142857,14,13,0,1,0,42,11,43.0,299800.0,7,0,0.0
59164,8,0,0,8,8,0,0,5,5,0,1,1,15.0,15.0,1.0,1.0,60.0,5.0,517.0,2.0,2.0,Bauchi,13,6,0,0,6,15100.0,0.46153846153846156,12,12,0,1,0,42,6,20.0,35100.0,7,0,0.0
59165,5,0,0,5,5,0,0,1,1,0,1,1,8.0,8.0,1.0,1.0,53.0,5.0,517.0,2.0,2.0,Bauchi,8,4,0,0,4,9000.0,0.5,7,7,0,1,0,42,5,17.0,30000.0,7,0,0.0
59168,3,0,0,3,3,0,0,0,0,0,0,0,11.0,11.0,1.0,1.0,41.0,5.0,517.0,2.0,2.0,Bauchi,10,10,0,0,3,1081500.0,1.0,8,7,0,1,0,42,7,26.0,206000.0,7,1,8500.0
59169,5,0,0,5,5,0,1,2,5,1,1,1,1.0,1.0,1.0,1.0,92.0,5.0,518.0,2.0,2.0,Bauchi,7,0,2,0,1,700.0,0.0,6,6,2,1,1,42,6,10.0,53500.0,7,0,0.0
59170,3,0,0,3,3,0,0,0,1,0,0,1,6.0,6.0,1.0,1.0,40.0,5.0,518.0,2.0,2.0,Bauchi,6,5,0,0,5,12500.0,0.8333333333333334,5,5,0,1,0,42,4,6.0,39000.0,7,0,0.0
59171,6,1,4,6,6,1,1,5,6,1,1,1,5.0,5.0,1.0,1.0,37.0,5.0,518.0,2.0,2.0,Bauchi,6,1,1,0,2,4700.0,0.16666666666666666,6,6,4,1,1,42,9,14.0,596800.0,7,0,0.0
59172,3,0,0,3,3,0,0,1,1,0,1,1,2.0,2.0,1.0,1.0,30.0,5.0,518.0,2.0,2.0,Bauchi,3,1,0,0,1,4000.0,0.3333333333333333,3,3,0,1,0,42,4,6.0,39400.0,7,0,0.0
59173,3,0,2,3,3,1,0,0,1,0,0,1,6.0,6.0,1.0,1.0,45.0,5.0,518.0,2.0,2.0,Bauchi,5,4,0,0,2,860000.0,0.8,4,3,0,1,0,42,9,20.0,220800.0,7,0,0.0
59174,6,0,0,6,6,0,0,1,1,0,1,1,14.0,14.0,1.0,1.0,47.0,5.0,518.0,2.0,2.0,Bauchi,12,5,0,0,5,13000.0,0.4166666666666667,10,10,0,1,0,42,4,13.0,28000.0,7,0,0.0
59175,6,0,0,6,6,0,0,0,0,0,0,0,9.0,9.0,1.0,1.0,60.0,5.0,518.0,2.0,2.0,Bauchi,9,9,0,0,6,2180000.0,1.0,9,9,0,1,0,42,6,26.0,39000.0,7,0,0.0
59176,4,0,2,4,4,1,0,2,1,0,1,1,6.0,6.0,1.0,1.0,35.0,5.0,518.0,2.0,2.0,Bauchi,6,1,0,0,1,25000.0,0.16666666666666666,5,5,3,1,1,42,6,11.0,185350.0,7,0,0.0
59179,3,0,0,3,3,0,0,1,1,0,1,1,8.0,8.0,1.0,1.0,34.0,5.0,518.0,2.0,2.0,Bauchi,8,5,0,0,5,11500.0,0.625,6,4,0,1,0,42,5,10.0,167300.0,7,0,0.0
59180,3,0,1,3,3,1,0,0,0,0,0,0,4.0,4.0,1.0,1.0,42.0,5.0,518.0,2.0,2.0,Bauchi,4,3,0,0,3,845000.0,0.75,3,3,0,1,0,42,8,20.0,229800.0,7,1,6500.0
59182,2,0,0,2,2,0,0,0,0,0,0,0,3.0,3.0,1.0,1.0,38.0,5.0,518.0,2.0,2.0,Bauchi,3,1,0,0,0,0.0,0.3333333333333333,2,2,0,1,0,42,4,6.0,80000.0,7,0,0.0
59184,7,0,0,7,7,0,0,2,2,0,1,1,11.0,11.0,1.0,1.0,54.0,5.0,518.0,2.0,2.0,Bauchi,10,5,0,0,5,108500.0,0.5,8,7,0,1,0,42,4,13.0,36500.0,7,0,0.0
